,Neighborhood,Population,Density,Average income,"Second language after English, %","Second language after English, name",Second language population
159,Wallace Emerson,10338,11748,25029,19.2,Portuguese,1984
160,West Deane Park,4395,2063,41582,2.3,Ukrainian,101
161,West Hill,25632,2676,27936,3.0,Tamil,768
162,West Rouge,9300,2090,44605,2.8,Cantonese,260
163,Westminster,16386,6914,27826,31.4,Russian,5145
164,Westmount,5857,5932,35183,10.6,Ukrainian,620
165,Weston,16476,6564,27446,7.0,Spanish,1153
166,Wexford,17844,2239,28556,4.5,Filipino,802
167,Willowdale,43144,5618,39895,7.9,Cantonese,3408
168,Wilson Heights,13732,3317,37978,6.2,Filipino,851
169,Woburn,48507,3636,26190,9.1,Gujarati,4414
170,Wychwood,4182,6150,53613,2.7,Portuguese,112
171,York Mills,17564,2409,92099,4.0,Korean,702
172,York University Heights,26140,1979,24432,6.6,Italian,1725
173,Yorkville,6045,10795,105239,1.9,French,114
